リソース,ラベル原文,タイプ,解説原文,日本語ラベル(人訳),解説文(人訳),文献1,文献2,文献3,通番,Score_1,Reason_1,Score_2,Reason_2,Score_3,Reason_3,Score_4,Reason_4,Score_5,Reason_5,Score_6,Reason_6,Score_7,Reason_7
http://vocab.getty.edu/aat/300014838,paste (adhesive),"<adhesive by form>, adhesive, <materials by function>, materials (substances), Materials (hierarchy name), Materials Facet","A soft, tenacious, pliable adhesive usually with a starch base.",糊,通常、でんぷんをベースとした柔らかく、粘り気のある、柔軟な接着剤。,小学館 ランダムハウス英和大辞典,プログレッシブ英和中辞典,理化学英和辞典,567,5.0,「解説文（英語）」に含まれる情報（柔らかく、粘り気のある、柔軟な接着剤、でんぷんをベースとする）がすべて「解説文（人訳・修正）」に反映されており、情報の抜けはありません。,4.0,「通常、でんぷんをベースとした柔らかく、粘り気のある、柔軟な接着剤。」という文は自然な日本語ですが、「通常」という言葉がやや不自然に感じられるため、5点には至りません。文脈によっては「一般的に」などの表現がより適切かもしれません。,5.0,「解説文（英語）」は、糊の特性を具体的に説明しており、対象を理解するために十分な情報を提供しています。,5.0,「解説文（英語）」は、接着剤の特性（柔らかさ、粘り気、柔軟性）を適切に説明しており、これらは接着剤の化学的特性に関連する専門知識（化学、材料科学）を反映しています。,5.0,「解説文（人訳・修正）」には事実ではない内容は含まれておらず、元の英語の解説に基づいて正確に翻訳されています。,5.0,元ラベル「paste (adhesive)」と日本語ラベル「糊」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「糊」は日本語において一般的に使用される用語であり、特に接着剤の一種として広く認識されています。独自の造語はありません。
http://vocab.getty.edu/aat/300011797,blood (animal material),"<animal material by excretions, secretions, and fluids>, <animal material by form or function>, animal material, biological material, <materials by origin>, materials (substances), Materials (hierarchy name), Materials Facet",Fluid that circulates in the principal vascular system of vertebrate animals.,血、血液,脊椎動物の主要な血管系を循環する流体のこと。,小学館　ランダム英和大辞典,プログレッシブ英和中辞典,医学英和辞典,629,5.0,「解説文（英語）」に含まれる「脊椎動物の主要な血管系を循環する流体」という情報が、「解説文（人訳・修正）」に正確に反映されており、抜けがありません。,4.0,「脊椎動物の主要な血管系を循環する流体のこと」という表現は自然ですが、「のこと」という部分がやや口語的であり、もう少し正式な表現にすることでより自然な日本語になる可能性があります。,5.0,「解説文（英語）」は血液の基本的な機能と位置づけを明確に説明しており、対象を理解するために十分な情報を提供しています。,5.0,血液の循環系に関する説明は、脊椎動物の生理学や解剖学に基づいており、専門知識が適切に用いられています。血液の役割や重要性についても言及されているため、関連する専門知識が反映されています。,5.0,「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確な情報が提供されています。,5.0,元ラベル「blood (animal material)」と日本語ラベル「血、血液」は同じ対象を指しており、ズレや曖昧さはありません。,5.0,「血」「血液」は生物学や医学の分野で広く使われる用語であり、一般的に認識されている訳語と一致しています。
http://vocab.getty.edu/aat/300191621,honey,"<animal material by excretions, secretions, and fluids>, <animal material by form or function>, animal material, biological material, <materials by origin>, materials (substances), Materials (hierarchy name), Materials Facet",Sweet viscous fluid produced by bees from the nectar collected from flowers.,蜂蜜,ミツバチが花の蜜を集めて作る甘い粘性のある液体。,小学館　ランダムハウス英和大辞典,プログレッシブ英中和辞典,医学英和辞典,631,5.0,「解説文（英語）」に含まれる情報がすべて「解説文（人訳・修正）」に反映されており、抜けがありません。特に「ミツバチが花の蜜を集めて作る」という部分が、蜂蜜の生成過程を正確に表現しています。,4.0,「甘い粘性のある液体」という表現は自然ですが、少し堅い印象を与える可能性があります。「甘くて粘り気のある液体」とすることで、より自然な日本語になるかもしれません。,5.0,「解説文（英語）」は蜂蜜の生成過程とその特性を簡潔に説明しており、対象を理解するために十分な情報を提供しています。,5.0,蜂蜜の生成過程や特性についての説明が適切で、専門知識（生物学、食品科学）に基づいています。特に、蜜を集めるという行為や「粘性」という物理的特性が正確に表現されています。,5.0,「解説文（人訳・修正）」には事実に反する内容は含まれておらず、蜂蜜の特性について正確に述べられています。,5.0,元ラベル「honey」と日本語ラベル「蜂蜜」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「蜂蜜」は日本語において一般的に使用される用語であり、特に独自の造語はありません。広く認知されている訳語です。
http://vocab.getty.edu/aat/300311585,barium,"<barium and barium compounds>, inorganic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet","A whitish, malleable, metallic element from the alkaline earth group, occurring primarily as a sulfate (barite) and less often as a carbonate (witherite). Salts of barium are used as pigments in paints, ceramics, glass, plastics, and rubber, as fillers, as pesticides, and to produce the green color in fireworks.",バリウム,アルカリ土類金属元素の一種で、主に硫酸塩（バライト）、炭酸塩（ウィザライト）として産出する。バリウムの塩は、塗料、セラミック、ガラス、プラスチック、ゴムの顔料や充填剤として、また殺虫剤として、花火の緑色を生成するために使用される。,小学館 ランダムハウス英和大辞典,理化学英和辞典,医学英和辞典,1032,5.0,「解説文（人訳・修正）」には、英語の解説文に含まれるすべての情報が正確に翻訳されており、抜け落ちている情報はありません。,4.0,日本語文は自然で理解しやすいですが、「アルカリ土類金属元素の一種で」という表現がやや堅い印象を与えます。「アルカリ土類金属の一種で」とすることで、より自然な表現になるかもしれません。,5.0,「解説文（英語）」はバリウムの性質、用途、発生形態について十分に説明しており、対象を理解するために必要な情報が網羅されています。,5.0,解説文は化学的な知識（アルカリ土類金属、硫酸塩、炭酸塩、顔料など）を適切に用いており、専門的な観点からも正確な説明がなされています。,5.0,「解説文（人訳・修正）」には事実に反する内容は含まれておらず、バリウムに関する正確な情報が提供されています。,5.0,元ラベル「barium」と日本語ラベル「バリウム」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「バリウム」は化学用語として広く使われている訳語であり、独自の造語はありません。
http://vocab.getty.edu/aat/300266374,barium compounds,"<barium and barium compounds>, inorganic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet",Compounds consisting of the chemical element barium.,バリウム化合物,化学元素バリウムからなる化合物。,デジタル化学辞典(第2版),Weblio和英辞典・英和辞典,笠岡、阪田、 栢野「石炭チャーの接触ガス化プロセスの開発 -バリウム化合物の触媒効果と作用機構-」、『化学工学論文集』、第8巻、1号（1982）、51-58頁,1033,5.0,「解説文（英語）」に含まれる情報が全て「解説文（人訳・修正）」に反映されており、抜け落ちた情報はありません。,4.0,「化学元素バリウムからなる化合物」という表現は自然ですが、もう少し流暢にするために「バリウムという化学元素からなる化合物」とすることも可能です。,5.0,「解説文（英語）」はバリウム化合物の定義を明確に示しており、対象を理解するために十分な説明がなされています。,5.0,バリウム化合物に関する説明は、化学の基本的な知識に基づいており、専門用語が適切に使用されています。,5.0,「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確な情報が提供されています。,5.0,元ラベル「barium compounds」と日本語ラベル「バリウム化合物」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「バリウム化合物」という用語は化学分野で一般的に使用されている訳語であり、独自の造語ではありません。
http://vocab.getty.edu/aat/300011798,bone (material),"<bone and bone components materials>, combination inorganic/organic animal material, combination inorganic/organic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet","The rigid, calcareous material that is white in color and forms the skeleton of vertebrates; primarily composed of calcium hydroxyapatite with smaller amounts of calcium carbonate, calcium fluoride, magnesium phosphate, and ossein, a high molecular weight protein. Bones have a concentric structure with central lymphatic canals surrounded by a spongy lamellar region protected by a dense outer cortex. Bone has been carved and used since ancient times for many purposes, including fish-hooks, spear heads, needles, handles, and art objects. Bones were also burnt to produce bone black and boiled to produce bone glue. Bone can be distinguished from ivory by being generally whiter, more porous, and less dense.",骨,脊椎動物の骨格を形成する白色の硬い石灰質物質。主にカルシウムハイドロキシアパタイトで構成され、少量の炭酸カルシウム、フッ化カルシウム、リン酸マグネシウム、および高分子タンパク質であるオセインが含まれています。骨は同心円状の構造を持ち、中心にはリンパ管が通る管があり、それを取り囲むように海綿状のラメラ層が存在し、さらにその外側は緻密な皮質層によって保護されている。骨は古代からさまざまな用途に利用され、彫刻されてきた素材であり、釣り針、槍の穂先、針、取っ手、そして美術品などに使われてきた。骨は焼いて骨黒を作ったり、煮て骨膠を作ったりもしました。骨は一般に象牙よりも白く、より多孔質で、密度が低いという点で象牙と区別できます。,小学館 ランダムハウス英和大辞典,プログレッシブ英和中辞典,SPED理工系英和辞典,1253,5.0,解説文（英語）の情報がすべて解説文（人訳・修正）に含まれており、抜け落ちている情報はありません。骨の構成成分や用途、特徴について詳細に説明されています。,4.0,日本語文は全体的に自然ですが、一部の表現がやや堅苦しく感じられる箇所があります。例えば、「白色の硬い石灰質物質」という表現は、「白い硬い石灰質の物質」とすることで、より自然な流れになるかもしれません。,5.0,解説文（英語）は骨の物理的特性、化学成分、歴史的用途について十分に説明しており、対象を理解するために必要な情報が網羅されています。,5.0,骨に関する専門知識（生物学、材料科学、歴史的用途）を適切に用いて説明されており、特にカルシウムハイドロキシアパタイトやオセインなどの専門用語が正確に使われています。,5.0,解説文（人訳・修正）には事実ではない内容は含まれておらず、骨に関する正確な情報が提供されています。,5.0,元ラベル「bone (material)」と日本語ラベル「骨」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「骨」という用語は生物学や材料科学の分野で一般的に使用される正確な訳語であり、独自の造語はありません。
http://vocab.getty.edu/aat/300011796,antler (material),"<bone by form as material>, bone (material), <bone and bone components materials>, combination inorganic/organic animal material, combination inorganic/organic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet","Material made from antlers, which are paired deciduous outgrowths of bone projecting from the frontal bones of ungulates of the deer family. Distinguished from ""horn,"" which is modified skin tissue or compacted hair.",枝角,枝角から作られた素材で、枝角はシカ科の偶蹄類の前頭骨から突き出る対になった脱落性の骨質突起である。「角」とは異なり、角は変化した皮膚組織または圧縮された毛髪で構成されている点で区別される。,小学館 ランダムハウス英和大辞典,プログレッシブ英和中辞典,医学英和辞典,1255,5.0,「解説文（人訳・修正）」は「解説文（英語）」の内容を完全に反映しており、情報の抜けはありません。枝角の定義やその特徴、角との違いについても正確に訳されています。,4.0,「解説文（人訳・修正）」は自然な日本語で書かれていますが、「脱落性の骨質突起」という表現がやや専門的で、一般的な読者には理解しにくいかもしれません。もう少し平易な表現にすることで、より自然な文になるでしょう。,5.0,「解説文（英語）」は枝角の定義、特徴、角との違いを明確に説明しており、対象を理解するために十分な情報を提供しています。,5.0,「解説文（英語）」は生物学や動物学に関する専門知識を適切に用いており、特にシカ科や骨の構造に関する説明が正確です。これにより、読者は枝角の特性を理解しやすくなっています。,5.0,「解説文（人訳・修正）」には事実ではない内容は含まれておらず、専門知識に基づいて正確に訳されています。枝角と角の違いについても正確に説明されています。,5.0,元ラベル「antler」と日本語ラベル「枝角」は同じ対象を指しており、ズレや指示対象の曖昧性はありません。両者は明確に一致しています。,5.0,「日本語ラベル（人訳）」の「枝角」は、動物学や生物学の分野で一般的に使用される用語であり、独自の造語ではありません。適切な訳語です。
http://vocab.getty.edu/aat/300417719,whale bone (bone),"<bone by form as material>, bone (material), <bone and bone components materials>, combination inorganic/organic animal material, combination inorganic/organic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet",Material comprising the bone of whales.,鯨ひげ,クジラの骨からなる素材。,"ジャパンナレッジ[日本国語大辞典]
https://japanknowledge.com/psnl/display/?ph=1&kw=%E9%AF%A8%E9%AA%A8&lid=20020152f060S96t437b","ジャパンナレッジ[プログレッシブ和英中辞典]
https://japanknowledge.com/psnl/display/?ph=1&kw=%E9%AF%A8%E9%AA%A8&lid=40030PJE1198200#CP00030","ジャパンナレッジ[デジタル大辞泉]
https://japanknowledge.com/psnl/display/?ph=1&kw=%E9%AF%A8%E9%AA%A8&lid=2001024800400",1256,5.0,「解説文（英語）」に含まれる情報が全て「解説文（人訳・修正）」に反映されており、抜け落ちた情報はありません。,4.0,「クジラの骨からなる素材」という表現は自然ですが、「素材」という言葉が少し曖昧で、具体的に何を指すのかが明確ではありません。より具体的な表現が望ましいです。,4.0,「Material comprising the bone of whales」という説明は基本的な情報を提供していますが、もう少し詳細な背景や用途について触れていると、より理解が深まるでしょう。,3.0,解説文は基本的な情報を提供していますが、専門的な知識（例：鯨ひげの用途や文化的背景）に基づいた詳細な説明が不足しています。鯨ひげは伝統的に工芸品や装飾品に使われてきたため、その点に触れると良いでしょう。,5.0,「解説文（人訳・修正）」には事実に反する内容は含まれておらず、正確な情報が提供されています。,5.0,元ラベル「whale bone」と日本語ラベル「鯨ひげ」は同じ対象を指しており、ズレや曖昧さはありません。,4.0,「鯨ひげ」という用語は一般的に使用されている訳語ですが、学術的な文脈では「クジラの骨」や「鯨骨」という表現も見られるため、より正確な用語を選ぶ余地があります。
http://vocab.getty.edu/aat/300255937,ossein,"<bone components as materials>, <bone and bone components materials>, combination inorganic/organic animal material, combination inorganic/organic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet",The collagen in bone; used to make glue and gelatin.,オセイン、骨素,骨に含まれるコラーゲンで、接着剤やゼラチンの製造に使用される。,小学館 ランダムハウス英和大辞典,プログレッシブ英和中辞典,医学英和辞典,1257,5.0,「解説文（英語）」に含まれる情報が全て「解説文（人訳・修正）」に反映されており、抜けがないため。,4.0,「接着剤やゼラチンの製造に使用される」という部分は自然ですが、「骨に含まれるコラーゲンで」という表現がやや堅い印象を与えるため、もう少し流暢な表現に改善の余地がある。,5.0,「解説文（英語）」はオセインの定義と用途を明確に説明しており、対象を理解するために十分な情報を提供しているため。,5.0,コラーゲン、接着剤、ゼラチンといった専門用語が適切に使用されており、骨に関する生物学的知識が反映されているため。,5.0,「解説文（人訳・修正）」には事実に基づかない内容は含まれておらず、正確な情報が提供されているため。,5.0,元ラベル「ossein」と日本語ラベル「オセイン、骨素」は同じ対象を指しており、ズレや曖昧性はないため。,4.0,「オセイン」は一般的に使用される訳語ですが、「骨素」という表現はあまり一般的ではなく、専門的な文脈で使われることが少ないため、もう少し広く認知されている用語を使用することが望ましい。
http://vocab.getty.edu/aat/300192945,osteocalcin,"<bone components as materials>, <bone and bone components materials>, combination inorganic/organic animal material, combination inorganic/organic material, <materials by composition>, materials (substances), Materials (hierarchy name), Materials Facet",The calcium-binding protein in bones.,オステオカルシン,骨に含まれるカルシウム結合タンパク質。,医学英和辞典,溝上、川久保、竹内、平田「オステオカルシンとインスリン分泌」、『日本薬理学雑誌 』、公共社団法人 日本薬理学会、145号（2015）、201-205頁,土肥、赤羽、大串「骨基質タンパク質オステオカルシンの分子構造と骨分化カスケードにおける役割」、『Journal of Nara Medical Association』、59巻、2008年、83-96頁,1258,5.0,「解説文（英語）」に含まれる「calcium-binding protein in bones」という情報が、「解説文（人訳・修正）」の「骨に含まれるカルシウム結合タンパク質」に正確に反映されており、情報の抜けはありません。,5.0,「解説文（人訳・修正）」は自然な日本語で表現されており、専門用語も適切に使用されています。流暢で理解しやすい文になっています。,4.0,「解説文（英語）」は基本的な情報を提供していますが、オステオカルシンの機能や役割についての詳細が欠けているため、もう少し説明があればより理解が深まるでしょう。,4.0,専門用語「カルシウム結合タンパク質」は正しく使用されていますが、オステオカルシンの生理学的役割や関連する疾患（例：骨粗鬆症など）についての言及がないため、専門知識の深さがやや不足しています。,5.0,「解説文（人訳・修正）」には事実ではない内容は含まれておらず、オステオカルシンの定義として正確です。,5.0,元ラベル「osteocalcin」と日本語ラベル「オステオカルシン」は同じ対象を指しており、ズレや曖昧性はありません。,5.0,「オステオカルシン」は生化学や医学の分野で一般的に使用される用語であり、独自の造語ではありません。
