"リソース","ラベル原文","タイプ","解説原文","日本語ラベル(人訳)","解説文(人訳)","文献1","文献2","文献3","通番","Score_1","Reason_1","Score_2","Reason_2","Score_3","Reason_3","Score_4","Reason_4","Score_5","Reason_5","Score_6","Reason_6","Score_7","Reason_7","Score_8","Reason_8"
"http://vocab.getty.edu/aat/300260665","Malagasy (culture or style)","<African by cultural or regional designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of African ethnic groups inhabiting the island of Madagascar.","マダガスカル","アフリカの島国・マダガスカルに居住する民族の様式と文化。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=マダガスカル&lid=200203f016ccnTsj3cVt 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000220022 2022-6-12","ジャパンナレッジ[世界大百科事典]https://japanknowledge.com/psnl/display/?lid=102007197100 2022-6-12",11,5,"「解説文（英語）」に含まれる情報がすべて「解説文（人訳・修正）」に反映されており、抜け落ちた情報はありません。",4,"「解説文（人訳・修正）」は自然な日本語ですが、「民族の様式と文化」という表現がやや堅苦しく感じられるため、もう少し柔らかい表現にするとさらに良くなるかもしれません。",4,"「解説文（英語）」はマダガスカルの文化やスタイルについての基本的な情報を提供していますが、具体的な民族名や文化的特徴についての詳細が不足しているため、もう少し具体的な説明があればより良いと感じます。",4,"マダガスカルの文化やスタイルに関する基本的な知識は適切に用いられていますが、具体的な民族や文化的要素（例えば、アフリカの他の地域との違いや特有の伝統など）についての言及があれば、より専門的な説明となるでしょう。",5,"「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確な情報が提供されています。",5,"元ラベルの「Malagasy」と日本語ラベルの「マダガスカル」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「マダガスカル」という用語は一般的に広く使用されており、独自の造語は含まれていません。",4,"「解説文（人訳・修正）」は一般的に理解される表現ですが、専門的な文脈で使われる場合、もう少し具体的な用語や説明が求められることがあります。例えば、「民族の文化」という表現を「民族文化」とすることで、より専門的な響きを持たせることができるかもしれません。"
"http://vocab.getty.edu/aat/300016430","Pygmy (African culture or style)","<African by general distribution>, <African by cultural or regional designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.","ピグミー","カメルーン、赤道ギニア、ガボン、コンゴ民主共和国、コンゴ共和国、中央アフリカ共和国、ルワンダ、ブルンジに居住する、成人男性の平均身長が150cm（59インチ）未満であるアフリカの様々な民族の、集合的な生活様式と文化。これらの人々に対して「ピグミー」という呼称を用いることは蔑称である。可能な限り、個々の民族固有の名称を使用することが望ましい。","フランク・B・ギブニー.ブリタニカ国際大百科事典5小項目事典.ティービーエス・ブリタニカ.1993.392p","下中直人.世界大百科事典23.平凡社.2009.402p","相賀徹夫.大日本百科事典ジャポニカ15.小学館.1971.122p",18,5,"「解説文（英語）」に含まれる情報がすべて「解説文（人訳・修正）」に反映されており、抜け落ちている情報はありません。",4,"「解説文（人訳・修正）」は全体的に自然な日本語ですが、「成人男性の平均身長が150cm（59インチ）未満であるアフリカの様々な民族の、集合的な生活様式と文化」という部分がやや冗長に感じられます。もう少し簡潔に表現できる余地があります。",5,"「解説文（英語）」は対象について十分な説明を提供しており、文化や地域に関する情報が明確に示されています。",5,"解説文は、アフリカの民族学や人類学に関する専門知識を適切に用いており、特に「ピグミー」という用語の使用が蔑称であることに触れている点が評価できます。",5,"「解説文（人訳・修正）」には事実に反する内容は含まれておらず、正確な情報が提供されています。",5,"元ラベル「Pygmy」と日本語ラベル「ピグミー」は同じ対象を指しており、ズレや曖昧さはありません。",5,"「ピグミー」という用語は、アフリカの特定の民族を指す際に一般的に使用される用語であり、独自の造語ではありません。",5,"解説文（人訳・修正）においても、専門用語や表現が適切に使用されており、独自の造語は見られません。文化や民族に関する説明が正確です。"
"http://vocab.getty.edu/aat/300262699","Algerian","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Algeria or Algiers, in northern Africa.","アルジェリア","アフリカ北部に位置するアルジェリア・アルジェの人々の様式と文化。","ジャパンナレッジ [日本国語大辞典] https://japanknowledge.com/psnl/display/?kw=アルジェリア&lid=200200280b7c36T17Ly6 2022-6-11","ジャパンナレッジ[日本大百科全書]https://japanknowledge.com/psnl/display/?lid=1001000013945 2022-6-12","ジャパンナレッジ[世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102000304300　2022-6-12",20,5,"「解説文（英語）」に含まれる情報がすべて「解説文（人訳・修正）」に反映されており、抜け落ちている情報はありません。",4,"「解説文（人訳・修正）」は自然な日本語ですが、「アルジェリア・アルジェの人々の様式と文化」という表現は少し冗長に感じられるため、より簡潔に「アルジェリアの人々の様式と文化」とすることも可能です。",4,"「解説文（英語）」はアルジェリアのスタイルと文化について言及していますが、具体的な例や特徴がないため、もう少し詳細な説明があればより理解が深まるでしょう。",4,"アルジェリアの文化やスタイルに関する専門知識がある程度反映されていますが、具体的な文化的要素（例えば、音楽、料理、伝統など）を挙げることで、より深い理解を促すことができたと思います。",5,"「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確な情報が提供されています。",5,"元ラベル「Algerian」と日本語ラベル「アルジェリア」は同じ対象を指しており、ズレや曖昧さはありません。",5,"「アルジェリア」という訳語は一般的に使用されている用語であり、独自の造語ではありません。",4,"「解説文（人訳・修正）」は自然な日本語ですが、より専門的な用語や表現（例えば、「文化的様式」など）を使用することで、より専門的な印象を与えることができたかもしれません。"
"http://vocab.getty.edu/aat/300262700","Angolan","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Angola, a republic (formerly a Portuguese colony) in southwestern Africa.","アンゴラ","アフリカ南西部に位置する旧ポルトガル植民地のアンゴラ共和国の人々の様式と文化。","ジャパンナレッジ [日本国語大辞典] https://japanknowledge.com/psnl/display/?kw=アンゴラ&lid=2002002abe31Nf9Axxn5 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000014491 2022-6-12","ジャパンナレッジ [世界大百科事典]  https://japanknowledge.com/psnl/display/?lid=102000346800　2022-6-12",21,5,"解説文（英語）の内容がそのまま日本語訳に反映されており、情報の抜けはありません。アンゴラ共和国の位置、歴史的背景、文化に関する情報が全て含まれています。",4,"日本語文は自然で理解しやすいですが、「様式」という言葉がやや堅苦しく感じられるため、もう少し一般的な「スタイル」や「文化」といった表現に置き換えると、より自然な文になるかもしれません。",4,"解説文（英語）はアンゴラの文化とスタイルについて簡潔に説明していますが、具体的な文化的要素（音楽、料理、伝統など）が含まれていないため、もう少し詳細があれば理解が深まるでしょう。",4,"解説文（英語）はアンゴラの文化に関する基本的な情報を提供していますが、より専門的な知識（例えば、特定の伝統的な儀式やアート形式）を含めることで、より深い理解を促すことができたでしょう。",5,"解説文（人訳・修正）には事実ではない内容は含まれておらず、正確にアンゴラに関する情報を伝えています。",5,"元ラベル「Angolan」と日本語ラベル「アンゴラ」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「アンゴラ」という訳語は、地名として一般的に使用されているものであり、独自の造語ではありません。",4,"解説文（人訳・修正）も一般的な表現を用いていますが、「様式」という言葉がやや専門的であるため、より一般的な言葉に置き換えることで、より広い読者に理解されやすくなる可能性があります。"
"http://vocab.getty.edu/aat/300262993","Beninese","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Bénin, particularly of the modern inhabitants. For the style and culture of the more ancient people of southern Nigeria, use ""Benin.""","ベナン","ベナン共和国の人々、特に現代の住民の様式と文化。ナイジェリア南部のより古い人々の様式と文化については''ベニン''を使用する。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=ベナン&lid=200203c7a9fd3lP3F1zT 2022-6-11","ジャパンナレッジ[日本大百科全書]  https://japanknowledge.com/psnl/display/?lid=1001000210384 2022-6-12","ジャパンナレッジ[世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102006818300　2022-6-12",22,5,"「解説文（人訳・修正）」は「解説文（英語）」の内容を完全に反映しており、情報の抜けはありません。特に、現代の住民の文化と、ナイジェリア南部の古い人々の文化に関する情報が正確に翻訳されています。",4,"日本語文は自然で理解しやすいですが、「様式と文化」という表現がやや堅苦しく感じられるため、もう少し口語的な表現にするとさらに良くなるかもしれません。",5,"「解説文（英語）」はベナンの現代の住民の文化と、ナイジェリア南部の古い人々の文化を明確に区別して説明しており、対象を理解するために十分な情報を提供しています。",5,"解説文は、ベナンとナイジェリアの文化的背景に関する専門知識を適切に用いており、特に「現代の住民」と「古い人々」という区分が文化的な理解を深めています。",5,"「解説文（人訳・修正）」には事実に反する内容は含まれておらず、ベナン共和国とナイジェリアの文化的な違いについて正確に述べられています。",5,"元ラベル「Beninese」と日本語ラベル「ベナン」は同じ対象を指しており、ズレや曖昧性はありません。両者はベナンの人々を指しています。",5,"「ベナン」という訳語は、地名として広く使われており、一般的な用語としても認知されています。独自の造語はありません。",4,"「解説文（人訳・修正）」の表現は概ね適切ですが、「様式と文化」という表現がやや専門的で、一般的な用語としては「文化」とだけ表現しても良いかもしれません。"
"http://vocab.getty.edu/aat/300262704","Botswana (national)","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of the modern nation of Botswana. To refer specifically to the style and culture of the Bantu people living chiefly in Botswana and western South Africa who speak or are descendants of those who traditionally spoke the Twana dialect of the Sotho language, use ""Tswana.""","ボツワナ","現代のボツワナの人々の様式と文化。主にボツワナと南アフリカ西部に居住するバントゥー系民族の人々。
ソト語の方言であるツワナ語を伝統的に話す、もしくはその子孫の様式と文化について言及する際は""ツワナ""を使用する。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=ボツワナ&lid=200203e02f1b7jdI7X0P 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000212880 2022-6-12","ジャパンナレッジ[世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102007043200 2022-6-12",23,5,"解説文（英語）の内容がすべて解説文（人訳・修正）に含まれており、情報の抜けがありません。特に、ボツワナの人々の文化やバントゥー系民族、ツワナ語についての言及がしっかりと訳されています。",4,"日本語文は全体的に自然で理解しやすいですが、「主にボツワナと南アフリカ西部に居住するバントゥー系民族の人々」という部分が少し冗長に感じられるため、もう少し簡潔に表現できる余地があります。",5,"解説文（英語）はボツワナの文化や民族に関する十分な情報を提供しており、対象を理解するために必要な要素が含まれています。特に、ツワナ語の話者についての説明が明確です。",5,"解説文（英語）は、ボツワナの文化やバントゥー系民族、ツワナ語に関する専門知識を適切に用いており、関連する情報がしっかりと説明されています。特に、言語学的な観点からの説明が的確です。",5,"解説文（人訳・修正）には事実ではない内容は含まれておらず、ボツワナやバントゥー系民族、ツワナ語に関する正確な情報が提供されています。",5,"元ラベル「Botswana (national)」と日本語ラベル「ボツワナ」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「ボツワナ」という訳語は、地名として一般的に使用されているものであり、独自の造語ではなく、広く受け入れられている用語です。",5,"解説文（人訳・修正）においても、専門用語や関連する表現が適切に使用されており、独自の造語は見られません。特に「ツワナ」という表現は正確で、専門的にも認知されています。"
"http://vocab.getty.edu/aat/300262702","Burkina Faso","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Burkina Faso.","ブルキナ=ファソ","ブルキナファソの人々の様式と文化。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=ブルキナファソ&lid=200203bad48f838JONLi 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000203555 2022-6-12","ジャパンナレッジ[世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102006660700 2022-6-12",24,5,"「解説文（英語）」の内容が「解説文（人訳・修正）」に完全に反映されており、情報の抜けはありません。",4,"「ブルキナファソの人々の様式と文化」という表現は自然ですが、「様式」という言葉がやや堅い印象を与えるため、もう少し一般的な「スタイル」や「風俗」といった表現に置き換えるとさらに自然になるかもしれません。",4,"「解説文（英語）」は「Burkina Faso」の文化とスタイルについて言及していますが、具体的な例や詳細がないため、もう少し具体的な情報があればより理解が深まるでしょう。",3,"「解説文（英語）」は一般的な文化やスタイルについて言及していますが、具体的な文化的要素（例えば、伝統的な衣装、音楽、食文化など）についての言及がないため、専門知識の深さが不足しています。",5,"「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確な情報が提供されています。",5,"元ラベルの「Burkina Faso」と日本語ラベルの「ブルキナ=ファソ」は同じ対象を指しており、ズレや曖昧性はありません。",4,"「ブルキナ=ファソ」という表記は一般的に使用されている訳語ですが、「ブルキナファソ」と表記することが多いため、後者の方がより一般的です。",3,"「解説文（人訳・修正）」は「様式」という表現を使用していますが、一般的には「スタイル」や「文化」といった用語がより広く使われているため、専門用語としての一致度がやや低いです。"
"http://vocab.getty.edu/aat/300262703","Burundi","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Burundi.","ブルンジ","ブルンジの人々の様式と文化。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=ブルンジ&lid=200203bb9c849hNAKz36 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000203745 2022-6-12","ジャパンナレッジ [世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102006678600 2022-6-12",25,5,"「解説文（英語）」に含まれる情報が「解説文（人訳・修正）」に完全に反映されており、抜け落ちた情報はありません。",4,"「ブルンジの人々の様式と文化」という表現は自然ですが、「様式」という言葉がやや堅苦しく感じられるため、もう少し一般的な「スタイル」や「文化的特徴」といった表現にすると、より自然な日本語になるかもしれません。",3,"「解説文（英語）」は非常に簡潔であり、ブルンジの文化やスタイルについての具体的な情報が不足しています。もう少し詳細な説明があれば、理解が深まるでしょう。",3,"「解説文（英語）」は文化やスタイルに関する一般的な表現を使用していますが、具体的な文化的要素（音楽、ダンス、伝統的な衣装など）についての言及がないため、専門知識の深さが不足しています。",5,"「解説文（人訳・修正）」には事実ではない内容は含まれておらず、正確にブルンジの文化を表現しています。",5,"元ラベル「Burundi」と日本語ラベル「ブルンジ」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「ブルンジ」という訳語は、地名として一般的に使用されているものであり、独自の造語ではありません。",3,"「解説文（人訳・修正）」は一般的な表現ですが、文化に関する専門用語や具体的な表現が不足しているため、より専門的な用語を用いることで、より正確な理解を促進できる可能性があります。"
"http://vocab.getty.edu/aat/300262992","Cameroonian","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the nation of Cameroon, lying at the junction of western and central Africa.","カメルーン","西アフリカと中央アフリカの合流地点に位置するカメルーンの様式と文化。","ジャパンナレッジ [日本国語大辞典]  https://japanknowledge.com/psnl/display/?kw=カメルーン&lid=200200ea3f0e17I95U9N 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000052929 2022-6-12","ジャパンナレッジ[世界大百科事典] https://japanknowledge.com/psnl/display/?lid=102001539600 2022-6-12",26,5,"解説文（英語）に含まれる「カメルーンの様式と文化」と「西アフリカと中央アフリカの合流地点に位置する」という情報は、解説文（人訳・修正）においても正確に翻訳されており、情報の抜けはありません。",4,"「解説文（人訳・修正）」は自然な日本語ですが、「様式と文化」という表現がやや堅い印象を与えるため、もう少し平易な表現にすることでより自然になる可能性があります。",4,"解説文（英語）はカメルーンの文化と地理的な位置を簡潔に説明していますが、もう少し具体的な文化的要素（例えば、音楽、料理、伝統など）を加えることで、より深い理解を促進できるでしょう。",4,"解説文（英語）はカメルーンの地理的な位置を示し、文化に関する基本的な情報を提供していますが、文化的な具体例やスタイルの詳細が不足しているため、専門知識の活用が限定的です。文化人類学や地域研究の観点からの詳細な説明があればさらに良いでしょう。",5,"解説文（人訳・修正）には事実ではない内容は含まれておらず、カメルーンの地理的および文化的な情報は正確です。",5,"元ラベル「Cameroonian」と日本語ラベル「カメルーン」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「カメルーン」という訳語は、地名として一般的に使用されており、特に独自の造語ではなく、広く認知されています。",4,"「様式と文化」という表現は一般的に理解可能ですが、より一般的な表現（例えば「文化的特徴」など）を使用することで、より多くの読者に親しみやすくなる可能性があります。"
"http://vocab.getty.edu/aat/300262701","Cape Verdean","<African by national designation>, African (general, continental cultures), <styles, periods, and cultures by region>, Styles and Periods (hierarchy name), Styles and Periods Facet","Style and culture of the people of Cape Verde.","カーボベルデ","カーボベルデの人々の様式と文化。","ジャパンナレッジ [日本国語大辞典] https://japanknowledge.com/psnl/display/?kw=カーボベルデ&lid=200200b4b316Mhc70CSY 2022-6-11","ジャパンナレッジ[日本大百科全書] https://japanknowledge.com/psnl/display/?lid=1001000052548 2022-6-12","ジャパンナレッジ[デジタル大辞泉] https://japanknowledge.com/psnl/display/?lid=2001002719800 2022-6-12",27,5,"「解説文（英語）」に含まれる「Style and culture of the people of Cape Verde」という情報が、「解説文（人訳・修正）」でも「カーボベルデの人々の様式と文化」として正確に訳されており、情報の抜けはありません。",4,"「カーボベルデの人々の様式と文化」という表現は自然ですが、もう少し流暢にするために「カーボベルデの人々の文化とスタイル」とすることで、より日本語としてのリズムが良くなるかもしれません。",4,"「解説文（英語）」は「スタイルと文化」という広範な概念を示していますが、具体的な例や詳細がないため、もう少し具体性があればより理解が深まるでしょう。",3,"「解説文（英語）」は一般的なスタイルと文化について触れていますが、音楽、ダンス、食文化などの具体的な要素が含まれていないため、専門的な知識（例：アフリカ文化、ポルトガルの影響など）が不足しています。",5,"「解説文（人訳・修正）」には事実に反する内容は含まれておらず、正確に元の情報を反映しています。",5,"元ラベル「Cape Verdean」と日本語ラベル「カーボベルデ」は同じ対象を指しており、ズレや曖昧性はありません。",5,"「カーボベルデ」は一般的に使用される訳語であり、特に地名として広く認知されています。独自の造語ではありません。",4,"「解説文（人訳・修正）」は自然な日本語ですが、専門用語として「スタイル」という言葉を「様式」と訳すのは一般的ではないため、より一般的な「文化とスタイル」とすることで、より専門的な表現になるかもしれません。"
